,CITY,POPULATION
207,Chatra,"1,042,304"
208,Deoghar,"1,491,879"
209,Dhanbad,"2,682,662"
210,Dumka,"1,321,096"
211,East Singhbhum,"2,291,032"
212,Garhwa,"1,322,387"
213,Giridih,"2,445,203"
214,Godda,"1,311,382"
215,Gumla,"1,025,656"
216,Hazaribag,"1,734,005"
217,Jamtara,"790,207"
218,Khunti,"530,299"
219,Koderma,"717,169"
220,Latehar,"725,673"
221,Lohardaga,"461,738"
222,Pakur,"899,200"
223,Palamu,"1,936,319"
224,Ramgarh,"949,159"
225,Ranchi,"2,912,022"
226,Sahibganj,"1,150,038"
227,Seraikela Kharsawan,"1,063,458"
228,Simdega,"599,813"
229,West Singhbhum,"1,501,619"
230,Bagalkot,"1,890,826"
231,Ballari,"2,532,383"
232,Belagavi,"4,778,439"
233,Bengaluru Rural,"987,257"
234,Bengaluru Urban,"9,588,910"
235,Bidar,"1,700,018"
236,Chamarajnagar,"1,020,962"
237,Chikkaballapur,"1,254,377"
238,Chikkamagaluru,"1,137,753"
239,Chitradurga,"1,660,378"
240,Dakshina Kannada,"2,083,625"
241,Davanagere,"1,946,905"
242,Dharwad,"1,846,993"
243,Gadag,"1,065,235"
244,Hassan,"1,776,221"
245,Haveri,"1,598,506"
246,Kalaburagi,"2,564,892"
247,Kodagu,"554,762"
248,Kolar,"1,540,231"
249,Koppal,"1,391,292"
250,Mandya,"1,808,680"
251,Mysuru,"2,994,744"
252,Raichur,"1,924,773"
253,Ramanagara,"1,082,739"
254,Shivamogga,"1,755,512"
255,Tumakuru,"2,681,449"
256,Udupi,"1,177,908"
257,Uttara Kannada,"1,353,299"
258,Vijayapura,"2,175,102"
259,Yadgir,"1,172,985"
260,Alappuzha,"2,121,943"
261,Ernakulam,"3,279,860"
262,Idukki,"1,107,453"
263,Kannur,"2,525,637"
264,Kasaragod,"1,302,600"
265,Kollam,"2,629,703"
266,Kottayam,"1,979,384"
267,Kozhikode,"3,089,543"
268,Malappuram,"4,110,956"
269,Palakkad,"2,810,892"
270,Pathanamthitta,"1,195,537"
271,Thrissur,"3,110,327"
272,Thiruvananthapuram,"3,307,284"
273,Wayanad,"816,558"
274,Agar Malwa, – 
275,Alirajpur,"728,677"
276,Anuppur,"749,521"
277,Ashok Nagar,"844,979"
278,Balaghat,"1,701,156"
279,Barwani,"1,385,659"
280,Betul,"1,575,247"
281,Bhind,"1,703,562"
282,Bhopal,"2,368,145"
283,Burhanpur,"756,993"
284,Chhatarpur,"1,762,857"
285,Chhindwara,"2,090,306"
286,Damoh,"1,263,703"
287,Datia,"786,375"
288,Dewas,"1,563,107"
289,Dhar,"2,184,672"
290,Dindori,"704,218"
291,Guna,"1,240,938"
292,Gwalior,"2,030,543"
293,Harda,"570,302"
294,Hoshangabad,"1,240,975"
295,Indore,"3,272,335"
296,Jabalpur,"2,460,714"
297,Jhabua,"1,024,091"
298,Katni,"1,291,684"
299,Khandwa (East Nimar),"1,309,443"
300,Khargone (West Nimar),"1,872,413"
301,Mandla,"1,053,522"
302,Mandsaur,"1,339,832"
303,Morena,"1,965,137"
304,Narsinghpur,"1,092,141"
305,Neemuch,"825,958"
306,Niwari, – 
307,Panna,"1,016,028"
308,Raisen,"1,331,699"
309,Rajgarh,"1,546,541"
310,Ratlam,"1,454,483"
311,Rewa,"2,363,744"
312,Sagar,"2,378,295"
313,Satna,"2,228,619"
314,Sehore,"1,311,008"
315,Seoni,"1,378,876"
316,Shahdol,"1,064,989"
317,Shajapur,"1,512,353"
318,Sheopur,"687,952"
319,Shivpuri,"1,725,818"
320,Sidhi,"1,126,515"
321,Singrauli,"1,178,132"
322,Tikamgarh,"1,444,920"
323,Ujjain,"1,986,864"
324,Umaria,"643,579"
325,Vidisha,"1,458,212"
326,Ahmednagar,"4,543,083"
327,Akola,"1,818,617"
328,Amravati,"2,887,826"
329,Aurangabad,"3,695,928"
330,Beed,"2,585,962"
331,Bhandara,"1,198,810"
332,Buldhana,"2,588,039"
333,Chandrapur,"2,194,262"
334,Dhule,"2,048,781"
335,Gadchiroli,"1,071,795"
336,Gondia,"1,322,331"
337,Hingoli,"1,178,973"
338,Jalgaon,"4,224,442"
339,Jalna,"1,958,483"
340,Kolhapur,"3,874,015"
341,Latur,"2,455,543"
342,Mumbai City,"3,145,966"
343,Mumbai suburban,"9,332,481"
344,Nanded,"3,356,566"
345,Nandurbar,"1,646,177"
346,Nagpur,"4,653,171"
347,Nashik,"6,109,052"
348,Osmanabad,"1,660,311"
349,Palghar,"2,990,116"
350,Parbhani,"1,835,982"
351,Pune,"9,426,959"
352,Raigad,"2,635,394"
353,Ratnagiri,"1,612,672"
354,Sangli,"2,820,575"
355,Satara,"3,003,922"
356,Sindhudurg,"848,868"
357,Solapur,"4,315,527"
358,Thane,"11,060,148"
359,Wardha,"1,296,157"
360,Washim,"1,196,714"
361,Yavatmal,"2,775,457"
362,Bishnupur,"240,363"
363,Chandel,"144,028"
364,Churachandpur,"271,274"
365,Imphal East,"452,661"
366,Imphal West,"514,683"
367,Jiribam, – 
368,Kakching, – 
369,Kamjong, – 
370,Kangpokpi, – 
371,Noney, – 
372,Pherzawl, – 
373,Senapati,"354,772"
374,Tamenglong,"140,143"
375,Tengnoupal, – 
376,Thoubal,"420,517"
377,Ukhrul,"183,115"
378,East Garo Hills,"317,618"
379,East Khasi Hills,"824,059"
380,East Jaintia Hills,"122,436"
381,North Garo Hills,"118,325"
382,Ri Bhoi,"258,380"
383,South Garo Hills,"142,574"
384,South West Garo Hills, – 
385,South West Khasi Hills,"110,152"
386,West Jaintia Hills,"270,352"
387,West Garo Hills,"642,923"
388,West Khasi Hills,"385,601"
389,Aizawl,"404,054"
390,Champhai,"125,370"
391,Kolasib,"83,054"
392,Lawngtlai,"117,444"
393,Lunglei,"154,094"
394,Mamit,"85,757"
395,Saiha,"56,366"
396,Serchhip,"64,875"
397,Dimapur,"379,769"
398,Kiphire,"74,033"
399,Kohima,"270,063"
400,Longleng,"50,593"
401,Mokokchung,"193,171"
402,Mon,"259,604"
403,Noklak, – 
404,Peren,"163,294"
405,Phek,"163,294"
406,Tuensang,"414,801"
407,Wokha,"166,239"
408,Zunheboto,"141,014"
409,Angul,"1,271,703"
410,Boudh (Bauda),"439,917"
411,Bhadrak,"1,506,522"
412,Balangir,"1,648,574"
413,Bargarh (Baragarh),"1,478,833"
414,Balasore,"2,317,419"
415,Cuttack,"2,618,708"
416,Debagarh (Deogarh),"312,164"
417,Dhenkanal,"1,192,948"
418,Ganjam,"3,520,151"
419,Gajapati,"575,880"
420,Jharsuguda,"579,499"
421,Jajpur,"1,826,275"
422,Jagatsinghpur,"1,136,604"
423,Khordha,"2,246,341"
424,Kendujhar (Keonjhar),"1,802,777"
425,Kalahandi,"1,573,054"
